Word;Tags;Strength;Weakness;Opportunity;Threat;Min;Max;Cat1;Cat2;Val1;Val2;Decision;Execution
Investment;Investment,Franchise,Stocks;48;52;97;3;0;100;W;O;52;97;O;Yes
Investment;Investment,Franchise,Stocks;25;75;45;55;0;100;W;T;75;55;W;No
Investment;Investment;36;64;77;23;0;100;W;O;64;77;O;Yes
Investment;Investment,Franchise;81;19;3;97;0;100;S;T;81;97;T;No
Investment;Investment,Franchise;92;8;53;47;0;100;S;O;92;53;S;Yes
Investment;Investment,Stocks;48;52;11;89;0;100;W;T;52;89;T;No
Investment;Investment;50;50;10;90;0;100;W;T;50;90;T;No
Investment;Franchise,Stocks;65;35;12;88;0;100;S;T;65;88;T;No
Investment;Stocks;6;94;27;73;0;100;W;T;94;73;W;No
Investment;Franchise;77;23;92;8;0;100;S;O;77;92;O;Yes
Investment;Investment,Franchise,Stocks;96;4;63;37;0;100;S;O;96;63;S;Yes
Investment;Investment,Stocks;30;70;63;37;0;100;W;O;70;63;W;No
Investment;Franchise,Stocks;47;53;88;12;0;100;W;O;53;88;O;Yes
Investment;Franchise,Stocks;28;72;21;79;0;100;W;T;72;79;T;No
Investment;Stocks;6;94;76;24;0;100;W;O;94;76;W;No
Investment;Franchise;96;4;90;10;0;100;S;O;96;90;S;Yes
Investment;Investment;39;61;57;43;0;100;W;O;61;57;W;No
Investment;Investment,Franchise;19;81;25;75;0;100;W;T;81;75;W;No
Investment;Investment,Stocks;36;64;16;84;0;100;W;T;64;84;T;No
Investment;Franchise;27;73;35;65;0;100;W;T;73;65;W;No
Budget;Investment,Franchise,Stocks;1;99;68;32;0;100;W;O;99;68;W;No
Budget;Investment,Franchise,Stocks;59;41;1;99;0;100;S;T;59;99;T;No
Budget;Investment;99;1;25;75;0;100;S;T;99;75;S;Yes
Budget;Investment,Franchise;63;37;78;22;0;100;S;O;63;78;O;Yes
Budget;Investment,Franchise;17;83;48;52;0;100;W;T;83;52;W;No
Budget;Investment,Stocks;15;85;42;58;0;100;W;T;85;58;W;No
Budget;Investment;81;19;42;58;0;100;S;T;81;58;S;Yes
Budget;Franchise,Stocks;98;2;40;60;0;100;S;T;98;60;S;Yes
Budget;Stocks;43;57;56;44;0;100;W;O;57;56;W;No
Budget;Franchise;28;72;37;63;0;100;W;T;72;63;W;No
Budget;Investment,Franchise,Stocks;10;90;75;25;0;100;W;O;90;75;W;No
Budget;Investment,Stocks;17;83;92;8;0;100;W;O;83;92;O;Yes
Budget;Franchise,Stocks;72;28;57;43;0;100;S;O;72;57;S;Yes
Budget;Franchise,Stocks;11;89;36;64;0;100;W;T;89;64;W;No
Budget;Stocks;32;68;87;13;0;100;W;O;68;87;O;Yes
Budget;Franchise;93;7;51;49;0;100;S;O;93;51;S;Yes
Budget;Investment;11;89;73;27;0;100;W;O;89;73;W;No
Budget;Investment,Franchise;20;80;16;84;0;100;W;T;80;84;T;No
Budget;Investment,Stocks;87;13;57;43;0;100;S;O;87;57;S;Yes
Budget;Franchise;66;34;27;73;0;100;S;T;66;73;T;No
Growth;Investment,Franchise,Stocks;89;11;45;55;0;100;S;T;89;55;S;Yes
Growth;Investment,Franchise,Stocks;71;29;88;12;0;100;S;O;71;88;O;Yes
Growth;Investment;41;59;73;27;0;100;W;O;59;73;O;Yes
Growth;Investment,Franchise;80;20;56;44;0;100;S;O;80;56;S;Yes
Growth;Investment,Franchise;25;75;61;39;0;100;W;O;75;61;W;No
Growth;Investment,Stocks;30;70;51;49;0;100;W;O;70;51;W;No
Growth;Investment;63;37;11;89;0;100;S;T;63;89;T;No
Growth;Franchise,Stocks;32;68;88;12;0;100;W;O;68;88;O;Yes
Growth;Stocks;57;43;25;75;0;100;S;T;57;75;T;No
Growth;Franchise;7;93;34;66;0;100;W;T;93;66;W;No
Growth;Investment,Franchise,Stocks;72;28;52;48;0;100;S;O;72;52;S;Yes
Growth;Investment,Stocks;37;63;90;10;0;100;W;O;63;90;O;Yes
Growth;Franchise,Stocks;85;15;38;62;0;100;S;T;85;62;S;Yes
Growth;Franchise,Stocks;76;24;40;60;0;100;S;T;76;60;S;Yes
Growth;Stocks;88;12;78;22;0;100;S;O;88;78;S;Yes
Growth;Franchise;98;2;68;32;0;100;S;O;98;68;S;Yes
Growth;Investment;61;39;50;50;0;100;S;T;61;50;S;Yes
Growth;Investment,Franchise;84;16;3;97;0;100;S;T;84;97;T;No
Growth;Investment,Stocks;12;88;94;6;0;100;W;O;88;94;O;Yes
Growth;Franchise;12;88;90;10;0;100;W;O;88;90;O;Yes
Risk;Investment,Franchise,Stocks;55;45;56;44;0;100;S;O;55;56;O;Yes
Risk;Investment,Franchise,Stocks;13;87;87;13;0;100;W;O;87;87;O;Yes
Risk;Investment;54;46;43;57;0;100;S;T;54;57;T;No
Risk;Investment,Franchise;52;48;62;38;0;100;S;O;52;62;O;Yes
Risk;Investment,Franchise;43;57;38;62;0;100;W;T;57;62;T;No
Risk;Investment,Stocks;74;26;18;82;0;100;S;T;74;82;T;No
Risk;Investment;92;8;21;79;0;100;S;T;92;79;S;Yes
Risk;Franchise,Stocks;42;58;92;8;0;100;W;O;58;92;O;Yes
Risk;Stocks;45;55;33;67;0;100;W;T;55;67;T;No
Risk;Franchise;82;18;8;92;0;100;S;T;82;92;T;No
Risk;Investment,Franchise,Stocks;20;80;63;37;0;100;W;O;80;63;W;No
Risk;Investment,Stocks;62;38;88;12;0;100;S;O;62;88;O;Yes
Risk;Franchise,Stocks;81;19;89;11;0;100;S;O;81;89;O;Yes
Risk;Franchise,Stocks;52;48;40;60;0;100;S;T;52;60;T;No
Risk;Stocks;77;23;37;63;0;100;S;T;77;63;S;Yes
Risk;Franchise;88;12;49;51;0;100;S;T;88;51;S;Yes
Risk;Investment;43;57;40;60;0;100;W;T;57;60;T;No
Risk;Investment,Franchise;20;80;46;54;0;100;W;T;80;54;W;No
Risk;Investment,Stocks;76;24;60;40;0;100;S;O;76;60;S;Yes
Risk;Franchise;15;85;72;28;0;100;W;O;85;72;W;No
Advantage;Investment,Franchise,Stocks;93;7;19;81;0;100;S;T;93;81;S;Yes
Advantage;Investment,Franchise,Stocks;0;100;19;81;0;100;W;T;100;81;W;No
Advantage;Investment;3;97;44;56;0;100;W;T;97;56;W;No
Advantage;Investment,Franchise;41;59;55;45;0;100;W;O;59;55;W;No
Advantage;Investment,Franchise;57;43;44;56;0;100;S;T;57;56;S;Yes
Advantage;Investment,Stocks;80;20;22;78;0;100;S;T;80;78;S;Yes
Advantage;Investment;51;49;91;9;0;100;S;O;51;91;O;Yes
Advantage;Franchise,Stocks;17;83;37;63;0;100;W;T;83;63;W;No
Advantage;Stocks;51;49;42;58;0;100;S;T;51;58;T;No
Advantage;Franchise;75;25;84;16;0;100;S;O;75;84;O;Yes
Advantage;Investment,Franchise,Stocks;63;37;77;23;0;100;S;O;63;77;O;Yes
Advantage;Investment,Stocks;46;54;85;15;0;100;W;O;54;85;O;Yes
Advantage;Franchise,Stocks;10;90;7;93;0;100;W;T;90;93;T;No
Advantage;Franchise,Stocks;7;93;89;11;0;100;W;O;93;89;W;No
Advantage;Stocks;63;37;76;24;0;100;S;O;63;76;O;Yes
Advantage;Franchise;78;22;49;51;0;100;S;T;78;51;S;Yes
Advantage;Investment;44;56;99;1;0;100;W;O;56;99;O;Yes
Advantage;Investment,Franchise;66;34;95;5;0;100;S;O;66;95;O;Yes
Advantage;Investment,Stocks;99;1;27;73;0;100;S;T;99;73;S;Yes
Advantage;Franchise;8;92;28;72;0;100;W;T;92;72;W;No
Disadvantage;Investment,Franchise,Stocks;83;17;78;22;0;100;S;O;83;78;S;Yes
Disadvantage;Investment,Franchise,Stocks;73;27;27;73;0;100;S;T;73;73;T;No
Disadvantage;Investment;34;66;25;75;0;100;W;T;66;75;T;No
Disadvantage;Investment,Franchise;32;68;40;60;0;100;W;T;68;60;W;No
Disadvantage;Investment,Franchise;89;11;41;59;0;100;S;T;89;59;S;Yes
Disadvantage;Investment,Stocks;65;35;83;17;0;100;S;O;65;83;O;Yes
Disadvantage;Investment;27;73;54;46;0;100;W;O;73;54;W;No
Disadvantage;Franchise,Stocks;73;27;51;49;0;100;S;O;73;51;S;Yes
Disadvantage;Stocks;59;41;90;10;0;100;S;O;59;90;O;Yes
Disadvantage;Franchise;41;59;63;37;0;100;W;O;59;63;O;Yes
Disadvantage;Investment,Franchise,Stocks;22;78;23;77;0;100;W;T;78;77;W;No
Disadvantage;Investment,Stocks;52;48;55;45;0;100;S;O;52;55;O;Yes
Disadvantage;Franchise,Stocks;1;99;58;42;0;100;W;O;99;58;W;No
Disadvantage;Franchise,Stocks;17;83;89;11;0;100;W;O;83;89;O;Yes
Disadvantage;Stocks;17;83;84;16;0;100;W;O;83;84;O;Yes
Disadvantage;Franchise;19;81;53;47;0;100;W;O;81;53;W;No
Disadvantage;Investment;95;5;56;44;0;100;S;O;95;56;S;Yes
Disadvantage;Investment,Franchise;9;91;96;4;0;100;W;O;91;96;O;Yes
Disadvantage;Investment,Stocks;47;53;58;42;0;100;W;O;53;58;O;Yes
Disadvantage;Franchise;16;84;6;94;0;100;W;T;84;94;T;No
Deficit;Investment,Franchise,Stocks;24;76;76;24;0;100;W;O;76;76;O;Yes
Deficit;Investment,Franchise,Stocks;21;79;61;39;0;100;W;O;79;61;W;No
Deficit;Investment;55;45;76;24;0;100;S;O;55;76;O;Yes
Deficit;Investment,Franchise;60;40;33;67;0;100;S;T;60;67;T;No
Deficit;Investment,Franchise;41;59;72;28;0;100;W;O;59;72;O;Yes
Deficit;Investment,Stocks;78;22;56;44;0;100;S;O;78;56;S;Yes
Deficit;Investment;77;23;85;15;0;100;S;O;77;85;O;Yes
Deficit;Franchise,Stocks;50;50;88;12;0;100;W;O;50;88;O;Yes
Deficit;Stocks;67;33;9;91;0;100;S;T;67;91;T;No
Deficit;Franchise;8;92;30;70;0;100;W;T;92;70;W;No
Deficit;Investment,Franchise,Stocks;83;17;8;92;0;100;S;T;83;92;T;No
Deficit;Investment,Stocks;59;41;17;83;0;100;S;T;59;83;T;No
Deficit;Franchise,Stocks;63;37;52;48;0;100;S;O;63;52;S;Yes
Deficit;Franchise,Stocks;40;60;36;64;0;100;W;T;60;64;T;No
Deficit;Stocks;57;43;21;79;0;100;S;T;57;79;T;No
Deficit;Franchise;60;40;19;81;0;100;S;T;60;81;T;No
Deficit;Investment;82;18;1;99;0;100;S;T;82;99;T;No
Deficit;Investment,Franchise;64;36;95;5;0;100;S;O;64;95;O;Yes
Deficit;Investment,Stocks;90;10;66;34;0;100;S;O;90;66;S;Yes
Deficit;Franchise;9;91;35;65;0;100;W;T;91;65;W;No
Inflation;Investment,Franchise,Stocks;98;2;9;91;0;100;S;T;98;91;S;Yes
Inflation;Investment,Franchise,Stocks;28;72;91;9;0;100;W;O;72;91;O;Yes
Inflation;Investment;95;5;18;82;0;100;S;T;95;82;S;Yes
Inflation;Investment,Franchise;71;29;5;95;0;100;S;T;71;95;T;No
Inflation;Investment,Franchise;5;95;78;22;0;100;W;O;95;78;W;No
Inflation;Investment,Stocks;67;33;88;12;0;100;S;O;67;88;O;Yes
Inflation;Investment;69;31;8;92;0;100;S;T;69;92;T;No
Inflation;Franchise,Stocks;2;98;89;11;0;100;W;O;98;89;W;No
Inflation;Stocks;5;95;0;100;0;100;W;T;95;100;T;No
Inflation;Franchise;17;83;25;75;0;100;W;T;83;75;W;No
Inflation;Investment,Franchise,Stocks;28;72;84;16;0;100;W;O;72;84;O;Yes
Inflation;Investment,Stocks;61;39;76;24;0;100;S;O;61;76;O;Yes
Inflation;Franchise,Stocks;28;72;4;96;0;100;W;T;72;96;T;No
Inflation;Franchise,Stocks;87;13;69;31;0;100;S;O;87;69;S;Yes
Inflation;Stocks;38;62;24;76;0;100;W;T;62;76;T;No
Inflation;Franchise;92;8;51;49;0;100;S;O;92;51;S;Yes
Inflation;Investment;47;53;37;63;0;100;W;T;53;63;T;No
Inflation;Investment,Franchise;72;28;49;51;0;100;S;T;72;51;S;Yes
Inflation;Investment,Stocks;26;74;2;98;0;100;W;T;74;98;T;No
Inflation;Franchise;43;57;16;84;0;100;W;T;57;84;T;No
